q10,q11,q12,q13,q15,q16,q17,q18,q19,q20,q20b,q22,q24,q31,q112b_fi,q116,q122,q122a,q122b,q125,q139,q142,gender,msa,region,allwt,job,census,state,q3a,cmb1
Wrong track,Somewhat worse,Don't know VOL,Somewhat bad time,Prices will go up, ,10,Prices will go up, ,5,Rates will go up,Somewhat easy,Own your home outright and do not have any debt on it,Buy,Not at all concerned,Significantly lower now,60-64,60,60-64,Single,Don't know VOL,Don't know VOL,Female, , ,.0542494185444135,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Stay about the same,Somewhat good time,Very good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will go up,Somewhat difficult,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,65-69,68,65-69,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Male, , ,.262704090792631,Jun-2022 (26724),Division 9,California,California,General Population
Right track,Stay about the same,Somewhat bad time,Very good time,Prices will remain about the same, , ,Prices will go up, ,5,Rates will remain about the same,Somewhat difficult,Own your home outright and do not have any debt on it,Buy, ,Significantly higher now,65-69,67,65-69,Divorced,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$15,000-$24,999",Female, , ,.598032027851817,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Somewhat better,Somewhat bad time,Very good time,Prices will go up, ,3,Prices will remain about the same, , ,Rates will go down,Somewhat difficult,Rent,Rent,Somewhat concerned,About the same vs. twelve months ago,25-29,26,25-29,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$25,000-$34,999",Male, , ,.642015084631802,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Much worse,Very bad time,Very good time,Prices will go up, ,15,Prices will go up, ,20,Rates will go up,Very difficult,Own your home outright and do not have any debt on it,Rent,Somewhat concerned,Significantly higher now,60-64,62,60-64,Divorced,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Male, , ,.833223643011513,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Stay about the same,Very bad time,Very good time,Prices will remain about the same, , ,Prices will go up, ,5,Rates will go up,Very easy,Rent,Rent,Not very concerned,Significantly higher now,60-64,60,60-64,Married or have an unmarried partner,"Asian (DO NOT READ: includes Chinese, Japanese, Korean, Vietnamese, Thai, Indian, Pakistani, etc.)","$200,000+",Male, , ,1.24408370848781,Jun-2022 (26724),Division 9,California,California,General Population
Right track,Stay about the same,Very bad time,Don't know VOL,Prices will go down, , ,Don't know VOL, , ,Don't know VOL,Somewhat difficult,Rent,Buy,Not at all concerned,About the same vs. twelve months ago,35-39,39,35-39,Single,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$10,000-$14,999",Female, , ,1.31505547387754,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Stay about the same,Very bad time,Very good time,Prices will go down,10, ,Prices will go up, ,7,Rates will go up,Very difficult,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,70-74,72,70-74,Married or have an unmarried partner,Other (DO NOT READ: include refused here),"$200,000+",Male, , ,.03881754117148,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Much better,Somewhat bad time,Very good time,Prices will go down,10, ,Prices will go up, ,10,Rates will go up,Somewhat easy,Rent,Buy,Not at all concerned,About the same vs. twelve months ago,25-29,27,25-29,Single,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$100,000-$149,999",Male, , ,3.74717318955896,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Much worse,Very bad time,Somewhat good time,Prices will go up, ,10,Prices will go up, ,20,Rates will go up,Very difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not very concerned,About the same vs. twelve months ago,45-49,46,45-49,Married or have an unmarried partner,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$100,000-$149,999",Male, , ,1.74494719537394,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Much worse,Very bad time,Somewhat good time,Prices will remain about the same, , ,Prices will go up, ,3,Rates will go up,Somewhat easy,Rent,Buy, ,Significantly lower now,50-54,50,50-54,Divorced,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$25,000-$34,999",Female, , ,1.19796430727061,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Somewhat worse,Somewhat bad time,Very good time,Prices will go down, , ,Prices will go up, ,10,Rates will go up,Very difficult,Own your home outright and do not have any debt on it,Buy, ,Significantly lower now,65-69,66,65-69,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","Less than $10,000",Female, , ,.829974779492296,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Much better,Somewhat good time,Somewhat good time,Prices will remain about the same, , ,Prices will go up, ,6,Rates will go up,Very difficult,Rent,Rent,Not at all concerned,Significantly higher now,25-29,29,25-29,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Male, , ,3.43344135088917,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Somewhat worse,Very bad time,Somewhat good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will go up,Somewhat easy,Rent,Rent,Somewhat concerned,Significantly higher now,25-29,25,25-29,Single,"Asian (DO NOT READ: includes Chinese, Japanese, Korean, Vietnamese, Thai, Indian, Pakistani, etc.)",Don't know VOL,Male, , ,2.35584859234439,Jun-2022 (26724),Division 9,California,California,General Population
Right track,Much better,Somewhat bad time,Very bad time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will go up,Very difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,50-54,50,50-54,Married or have an unmarried partner,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$75,000-$99,999",Female, , ,.583095330100297,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Somewhat worse,Somewhat good time,Somewhat bad time,Don't know VOL, , ,Prices will go up, , ,Rates will remain about the same,Very difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy, ,About the same vs. twelve months ago,50-54,50,50-54,Married or have an unmarried partner,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$15,000-$24,999",Female, , ,3.34907416133737,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Stay about the same,Somewhat bad time,Somewhat good time,Prices will go down,10, ,Prices will go down,20, ,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not very concerned,About the same vs. twelve months ago,35-39,39,35-39,Divorced,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Male, , ,.742118069808804,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Stay about the same,Somewhat good time,Somewhat bad time,Prices will go up, , ,Prices will go up, ,20,Rates will go up,Somewhat difficult,Own your home outright and do not have any debt on it,Buy,Not at all concerned,About the same vs. twelve months ago,60-64,61,60-64,Divorced,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)",Don't know VOL,Male, , ,.151994136236752,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Somewhat better,Somewhat good time,Somewhat good time,Prices will remain about the same, , ,Prices will go up, ,20,Rates will go down,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Somewhat concerned,Significantly higher now,60-64,62,60-64,Married or have an unmarried partner,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$25,000-$34,999",Male, , ,1.34592411847292,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Somewhat worse,Somewhat bad time,Very good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,40-44,41,40-44,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$150,000-$199,999",Male, , ,.856528881248065,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Somewhat worse,Very bad time,Somewhat good time,Prices will go up, ,15,Prices will go up, ,10,Rates will go up,Very difficult,Own your home outright and do not have any debt on it,Buy, ,Significantly higher now,70-74,74,70-74,Married or have an unmarried partner,Don't know VOL,"$100,000-$149,999",Male, , ,.0738026777974764,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Somewhat worse,Somewhat bad time,Somewhat good time,Prices will remain about the same, , ,Prices will go up, ,4,Rates will remain about the same,Somewhat difficult,Own your home outright and do not have any debt on it,Buy,Not very concerned,Significantly lower now,35-39,35,35-39,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Male, , ,.898908690101552,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Stay about the same,Somewhat bad time,Somewhat bad time,Prices will go up, ,25,Prices will go up, ,20,Rates will go up,Very difficult,Rent,Rent, ,Significantly higher now,75+,90,75+,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Female, , ,1.594914857699,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Much worse,Don't know VOL,Somewhat good time,Prices will go down,10, ,Prices will remain about the same, , ,Rates will go up,Somewhat difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Somewhat concerned,Significantly lower now,60-64,60,60-64,Divorced,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$50,000-$74,999",Female, , ,2.15343196107658,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Somewhat better,Somewhat bad time,Somewhat bad time,Prices will go up, , ,Prices will go up, , ,Rates will go up,Very difficult,Rent,Rent,Very concerned,Significantly lower now,70-74,74,70-74,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$25,000-$34,999",Female, , ,.409566879380697,Jun-2022 (26724),Division 9,California,California,General Population
Right track,Stay about the same,Very bad time,Very good time,Prices will go up, ,2,Prices will remain about the same, , ,Rates will go up,Very difficult,Rent,Buy,Not at all concerned,About the same vs. twelve months ago,40-44,42,40-44,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$150,000-$199,999",Male, , ,.517417889024271,Jun-2022 (26724),Division 9,California,California,General Population
Don't know VOL,Stay about the same,Somewhat good time,Somewhat good time,Prices will go down,10, ,Prices will remain about the same, , ,Rates will go up,Somewhat difficult,Own your home outright and do not have any debt on it,Rent, ,About the same vs. twelve months ago,75+,90,75+,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Female, , ,.29520160142004,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Somewhat worse,Don't know VOL,Don't know VOL,Prices will go up, ,5,Don't know VOL, , ,Rates will go up,Somewhat easy,Own your home outright and do not have any debt on it,Buy,Somewhat concerned,Significantly lower now,70-74,72,70-74,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Male, , ,.118517157014482,Jun-2022 (26724),Division 9,California,California,General Population
Wrong track,Somewhat worse,Very bad time,Very good time,Prices will go down,10, ,Prices will remain about the same, , ,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,60-64,64,60-64,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Female, , ,.770525691526688,Jun-2022 (26724),Division 9,California,California,General Population
